trat	cult	meio	nraiz	alt	craiz	nfol	pfpa	pfpr	pspa	pspr	papr
t7	c	ms	5	6.5	16.25	3	1.07	0.8	0.06	0.03	1.77
t8	c	bds	7.5	8.63	15.88	3.75	1.95	1.69	0.09	0.04	2.13
t8	c	bds	1.5	2.88	2.25	0.75	0.36	0.13	0.02	0	9
t8	c	bds	6.25	5	10.25	1	1.2	0.9	0.07	0.02	3.71
t8	c	bds	5	6.75	10.5	2.75	1.23	1.29	0.06	0.03	2.09
t8	c	bds	6.25	8.38	20	4.75	1.97	1.68	0.09	0.05	2.06
t9	c	wpm	5.25	4.13	2.63	2.25	0.96	0.06	0.05	0	18
t9	c	wpm	2	3.13	1.63	3.5	0.59	0.02	0.03	0	12
t9	c	wpm	1.75	2.75	3.5	1.5	0.27	0.02	0.02	0	6
t9	c	wpm	0	2.13	0	0	0.47	0	0.03	0	#DIV/0!
t9	c	wpm	3.25	3.63	2.75	4	0.72	0.03	0.04	0	14
t10	p	ms	4.75	7.63	17.5	3.25	2.08	0.99	0.1	0.04	2.86
t10	p	ms	6	7.63	17.75	3	1.84	1.19	0.1	0.05	2.22
t10	p	ms	5.75	8.5	13	3.5	1.68	0.99	0.08	0.04	2.2
t10	p	ms	3.5	7.25	10.88	3.75	1.4	0.72	0.07	0.03	2.55
t10	p	ms	3.75	5.5	14.75	3.5	0.88	0.55	0.05	0.02	2.5
t11	p	bds	5.25	9.25	13.88	3.5	2.48	1.13	0.12	0.05	2.56
t11	p	bds	5.5	8.25	16.75	3.25	1.68	0.92	0.08	0.03	2.38
t11	p	bds	5	8.88	18	3.25	2.43	1.35	0.11	0.06	2
t11	p	bds	5.75	7.25	14.25	4	2.32	1.05	0.11	0.04	2.47
t11	p	bds	4.25	8.5	13.38	3.25	1.87	0.91	0.09	0.04	2.57
t12	p	wpm	3.5	5.75	9.63	3.25	1.2	0.16	0.06	0.01	5.75
t12	p	wpm	4.75	6.38	11	3.75	1.44	0.11	0.07	0.01	8.67
t12	p	wpm	4.5	6.13	5.75	3	1.52	0.2	0.07	0.01	6.5
t12	p	wpm	4.25	7.25	8.75	3.25	1.61	0.19	0.07	0.01	7
t12	p	wpm	4.75	5.5	8.25	2.75	1.18	0.2	0.06	0.01	6
t13	d	ms	2.25	3.75	18	3.25	1.09	0.62	0.06	0.03	2.27
t13	d	ms	2.5	2.63	13.5	2.75	1.01	0.74	0.06	0.03	2
t13	d	ms	6.75	2.75	10.75	2.75	1.04	0.83	0.06	0.04	1.79
t13	d	ms	1.75	2.5	18.75	2.25	0.92	0.86	0.06	0.04	1.57
t13	d	ms	1.75	3.38	16	2.5	1.39	0.81	0.08	0.04	2.14
t14	d	bds	3.5	3.13	11.25	3	1.02	0.61	0.05	0.03	1.82
t14	d	bds	2.25	2.5	15.88	2.25	0.99	0.64	0.06	0.03	1.92
t14	d	bds	3.25	2.63	11.5	1.75	1.14	0.59	0.06	0.04	1.79
t14	d	bds	2.75	3.25	16.75	3	1.29	0.83	0.07	0.04	1.73
t14	d	bds	2.25	2.88	17.13	2.25	0.98	0.56	0.06	0.03	2.09
t15	d	wpm	1	2.63	13.25	0.5	1.07	0.24	0.06	0.02	3.57
t15	d	wpm	2.75	2.5	11	2.5	1.05	0.29	0.06	0.02	3.29
t15	d	wpm	2.25	2.38	7.88	1.75	1.18	0.29	0.07	0.02	3.63
t15	d	wpm	3.25	2.38	8.5	2	0.94	0.25	0.05	0.02	3
t15	d	wpm	2	2.75	13.5	2.25	0.98	0.34	0.06	0.02	2.75

